freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
7,1834180E+004	6,7244525E+002	2,5999982E+002
7,0201156E+004	6,7564740E+002	2,6531549E+002
6,8595977E+004	6,7919128E+002	2,7046719E+002
6,7037188E+004	6,8235541E+002	2,7556821E+002
6,5506234E+004	6,8582019E+002	2,8085818E+002
6,4012395E+004	6,8986407E+002	2,8604211E+002
6,2555672E+004	6,9347717E+002	2,9149670E+002
6,1126785E+004	6,9737256E+002	2,9680359E+002
5,9735008E+004	7,0137268E+002	3,0192444E+002
5,8371066E+004	7,0592816E+002	3,0761655E+002
5,7044238E+004	7,1027112E+002	3,1303055E+002
5,5745250E+004	7,1472229E+002	3,1866339E+002
5,4492652E+004	7,1941132E+002	3,2409155E+002
5,3230777E+004	7,2430884E+002	3,2971213E+002
5,2015289E+004	7,2958228E+002	3,3541959E+002
5,0827645E+004	7,3465088E+002	3,4096524E+002
4,9667828E+004	7,4015442E+002	3,4663736E+002
4,8535855E+004	7,4567773E+002	3,5218738E+002
4,7431707E+004	7,5142480E+002	3,5749713E+002
4,6355402E+004	7,5755676E+002	3,6348590E+002
4,5297652E+004	7,6367389E+002	3,6881390E+002
4,4258461E+004	7,7011749E+002	3,7454715E+002
4,3256387E+004	7,7702734E+002	3,8007773E+002
4,2263582E+004	7,8338593E+002	3,8579083E+002
4,1307895E+004	7,9026648E+002	3,9142996E+002
4,0361492E+004	7,9749774E+002	3,9664175E+002
3,9442918E+004	8,0487976E+002	4,0168076E+002
3,8542902E+004	8,1253845E+002	4,0756757E+002
3,7661449E+004	8,1996436E+002	4,1272803E+002
3,6807820E+004	8,2798627E+002	4,1775552E+002
3,5963484E+004	8,3619153E+002	4,2283716E+002
3,5146973E+004	8,4435272E+002	4,2798730E+002
3,4349016E+004	8,5307959E+002	4,3265524E+002
3,3560352E+004	8,6194232E+002	4,3752722E+002
3,2799512E+004	8,7051874E+002	4,4216956E+002
3,2047949E+004	8,7947675E+002	4,4658972E+002
3,1324230E+004	8,8868738E+002	4,5114484E+002
3,0609787E+004	8,9840802E+002	4,5545923E+002
2,9904619E+004	9,0779407E+002	4,5943881E+002
2,9227287E+004	9,1750427E+002	4,6309445E+002
2,8559230E+004	9,2774841E+002	4,6732480E+002
2,7909740E+004	9,3760278E+002	4,7079016E+002
2,7269520E+004	9,4774371E+002	4,7427365E+002
2,6647865E+004	9,5819934E+002	4,7726123E+002
2,6044756E+004	9,6881158E+002	4,8009299E+002
2,5450938E+004	9,7929626E+002	4,8288712E+002
2,4866387E+004	9,9064307E+002	4,8534171E+002
2,4300404E+004	1,0009982E+003	4,8754031E+002
2,3771525E+004	1,0114230E+003	4,8950449E+002
2,3205541E+004	1,0232781E+003	4,9199139E+002
2,2676662E+004	1,0349288E+003	4,9348404E+002
2,2166342E+004	1,0452122E+003	4,9470996E+002
2,1656029E+004	1,0568376E+003	4,9540424E+002
2,1164268E+004	1,0682275E+003	4,9658847E+002
2,0681783E+004	1,0794032E+003	4,9705777E+002
2,0208582E+004	1,0903500E+003	4,9778366E+002
1,9744656E+004	1,1021572E+003	4,9759961E+002
1,9299291E+004	1,1135529E+003	4,9727368E+002
1,8853918E+004	1,1251129E+003	4,9679449E+002
1,8427111E+004	1,1352852E+003	4,9602063E+002
1,8009572E+004	1,1470800E+003	4,9535666E+002
1,7601318E+004	1,1576028E+003	4,9452106E+002
1,7193064E+004	1,1695432E+003	4,9232059E+002
1,6803369E+004	1,1802731E+003	4,9120786E+002
1,6422949E+004	1,1905841E+003	4,8914111E+002
1,6051813E+004	1,2016416E+003	4,8729507E+002
1,5680671E+004	1,2127988E+003	4,8476093E+002
1,5328087E+004	1,2227605E+003	4,8206778E+002
1,4975503E+004	1,2334996E+003	4,7974734E+002
1,4632203E+004	1,2443896E+003	4,7635779E+002
1,4298171E+004	1,2544321E+003	4,7293204E+002
1,3973430E+004	1,2647148E+003	4,6946219E+002
1,3657957E+004	1,2740709E+003	4,6591074E+002
1,3342484E+004	1,2840460E+003	4,6194894E+002
1,3036296E+004	1,2932439E+003	4,5768649E+002
1,2739383E+004	1,3034623E+003	4,5392892E+002
1,2451753E+004	1,3128280E+003	4,4950711E+002
1,2164116E+004	1,3213512E+003	4,4541742E+002
1,1895038E+004	1,3300438E+003	4,4060284E+002
1,1616685E+004	1,3386558E+003	4,3635620E+002
1,1356891E+004	1,3473051E+003	4,3122119E+002
1,1097089E+004	1,3556588E+003	4,2729333E+002
1,0846570E+004	1,3635675E+003	4,2191348E+002
1,0596052E+004	1,3715601E+003	4,1752243E+002
1,0354810E+004	1,3790652E+003	4,1094760E+002
1,0122851E+004	1,3863999E+003	4,0586676E+002
9,8908838E+003	1,3943350E+003	4,0170459E+002
9,6589248E+003	1,4019525E+003	3,9630380E+002
9,4393418E+003	1,4084799E+003	3,9093271E+002
9,2313213E+003	1,4151411E+003	3,8594891E+002
9,0150986E+003	1,4217522E+003	3,7982755E+002
8,8072861E+003	1,4279939E+003	3,7453241E+002
8,6088408E+003	1,4340212E+003	3,6951819E+002
8,4103125E+003	1,4409742E+003	3,6363898E+002
8,2207324E+003	1,4463535E+003	3,5854858E+002
8,0314727E+003	1,4521320E+003	3,5333359E+002
7,8507217E+003	1,4564084E+003	3,4759152E+002
7,6705889E+003	1,4625208E+003	3,4219254E+002
7,4985400E+003	1,4674059E+003	3,3654868E+002
7,3273403E+003	1,4719792E+003	3,3125699E+002
7,1573926E+003	1,4771338E+003	3,2545480E+002
6,9951489E+003	1,4816411E+003	3,2089035E+002
6,8401025E+003	1,4854629E+003	3,1565918E+002
6,6806304E+003	1,4896509E+003	3,0924551E+002
6,5284297E+003	1,4935898E+003	3,0455869E+002
6,3779277E+003	1,4980509E+003	2,9946991E+002
6,2342139E+003	1,5018213E+003	2,9490115E+002
6,0922056E+003	1,5056133E+003	2,8915451E+002
5,9521050E+003	1,5092059E+003	2,8443271E+002
5,8182998E+003	1,5129398E+003	2,7982938E+002
5,6863501E+003	1,5158644E+003	2,7517307E+002
5,5563970E+003	1,5195134E+003	2,7006818E+002
5,4285752E+003	1,5220552E+003	2,6545425E+002
