freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,3384447E+000	1,8326544E+001	-2,1242633E+000
1,0601133E+000	1,8314789E+001	-2,1135571E+000
8,3950907E-001	1,8726671E+001	-2,0415416E+000
6,6517669E-001	1,8853514E+001	-2,3973534E+000
5,2644908E-001	1,8690767E+001	-2,2477598E+000
4,1728988E-001	1,9061989E+001	-2,0177522E+000
3,3019856E-001	1,9533499E+001	-2,3660643E+000
2,6168153E-001	1,9343082E+001	-2,8695745E+000
2,0727515E-001	1,8973391E+001	-2,7182298E+000
1,6422123E-001	1,9154341E+001	-2,2813444E+000
1,3006553E-001	1,9819477E+001	-2,1939790E+000
1,0297224E-001	2,0380808E+001	-2,7413459E+000
8,1555545E-002	2,0259962E+001	-3,3966668E+000
6,4581856E-002	1,9885113E+001	-3,4445643E+000
5,1141009E-002	1,9947468E+001	-3,0687821E+000
4,0509924E-002	2,0537277E+001	-2,8431308E+000
3,2105520E-002	2,1280743E+001	-3,0288131E+000
2,5420561E-002	2,1803699E+001	-3,5080125E+000
2,0124838E-002	2,2119934E+001	-3,8822677E+000
1,5937239E-002	2,2359602E+001	-4,1269593E+000
1,2632385E-002	2,2745481E+001	-4,1269650E+000
1,0003746E-002	2,3480787E+001	-4,3712649E+000
1,0000186E+006	5,5946455E+000	-6,9115728E-002
7,9201306E+005	5,6595130E+000	-1,6720235E-001
6,2729181E+005	5,7169838E+000	-2,4836172E-001
4,9682675E+005	5,7742629E+000	-3,2217351E-001
3,9349206E+005	5,8338566E+000	-3,8333842E-001
3,1165566E+005	5,8990855E+000	-4,4124600E-001
2,4683603E+005	5,9627357E+000	-4,9463964E-001
1,9549808E+005	6,0318646E+000	-5,4527372E-001
1,5483967E+005	6,1039186E+000	-6,0055703E-001
1,2263398E+005	6,1766624E+000	-6,5483475E-001
9,7127375E+004	6,2572231E+000	-7,1553338E-001
7,6928070E+004	6,3440661E+000	-7,8568095E-001
6,0922652E+004	6,4386086E+000	-8,6862642E-001
4,8257500E+004	6,5403175E+000	-9,5280963E-001
3,8218156E+004	6,6557565E+000	-1,0491186E+000
3,0266479E+004	6,7865086E+000	-1,1586462E+000
2,3975656E+004	6,9330540E+000	-1,2839104E+000
1,8983818E+004	7,0994329E+000	-1,4233866E+000
1,5040457E+004	7,2980146E+000	-1,5720055E+000
1,1913598E+004	7,5293632E+000	-1,7285715E+000
9,4374268E+003	7,8054748E+000	-1,8902855E+000
7,4706152E+003	8,1152782E+000	-2,0409057E+000
5,9169902E+003	8,4680281E+000	-2,1727946E+000
4,6864971E+003	8,8552017E+000	-2,2774081E+000
3,7111863E+003	9,2717514E+000	-2,3407907E+000
2,9409380E+003	9,6881294E+000	-2,3530354E+000
2,3292527E+003	1,0110809E+001	-2,3210313E+000
1,8444061E+003	1,0510223E+001	-2,2436359E+000
1,4604702E+003	1,0867550E+001	-2,1343045E+000
1,1568517E+003	1,1184995E+001	-2,0101793E+000
9,1646613E+002	1,1457590E+001	-1,8869728E+000
7,2569403E+002	1,1695115E+001	-1,7737306E+000
5,7481604E+002	1,1906552E+001	-1,6825876E+000
4,5514554E+002	1,2094514E+001	-1,6143503E+000
3,6057681E+002	1,2273983E+001	-1,5723339E+000
2,8563962E+002	1,2446341E+001	-1,5649594E+000
2,2623093E+002	1,2612833E+001	-1,5804881E+000
1,7914027E+002	1,2790499E+001	-1,6216713E+000
1,4186128E+002	1,2990343E+001	-1,6775488E+000
1,1233688E+002	1,3212772E+001	-1,7722843E+000
8,9003143E+001	1,3456793E+001	-1,8596408E+000
7,0473549E+001	1,3735935E+001	-1,9570441E+000
5,5839867E+001	1,4048542E+001	-2,0502343E+000
4,4221729E+001	1,4372651E+001	-2,1239100E+000
3,5011173E+001	1,4722366E+001	-2,1591859E+000
2,7736723E+001	1,5079398E+001	-2,1875196E+000
2,1960661E+001	1,5436575E+001	-2,1801207E+000
1,7399788E+001	1,5775435E+001	-2,1557677E+000
1,3786777E+001	1,6094345E+001	-2,1182647E+000
1,0911301E+001	1,6384445E+001	-2,0627642E+000
8,6421518E+000	1,6674795E+001	-2,0451548E+000
6,8470612E+000	1,6925993E+001	-2,0525463E+000
5,4197016E+000	1,7202744E+001	-2,0430522E+000
4,2925849E+000	1,7440067E+001	-2,0343246E+000
3,4004376E+000	1,7709528E+001	-2,0501893E+000
2,6930346E+000	1,7973209E+001	-2,0783722E+000
2,1345615E+000	1,8222239E+001	-2,0646644E+000
1,6891882E+000	1,8381348E+001	-2,1534648E+000
1,3384447E+000	1,8751751E+001	-2,1217043E+000
1,0601133E+000	1,8805054E+001	-2,2878337E+000
8,3950907E-001	1,9077084E+001	-2,0851958E+000
6,6517669E-001	1,9462122E+001	-2,3454764E+000
5,2644908E-001	1,9264179E+001	-2,5144157E+000
4,1728988E-001	1,9358438E+001	-2,1875522E+000
3,3019856E-001	1,9901180E+001	-2,1683877E+000
2,6168153E-001	2,0177416E+001	-2,7338643E+000
2,0727515E-001	1,9786560E+001	-3,0645511E+000
1,6422123E-001	1,9546989E+001	-2,7292416E+000
1,3006553E-001	1,9928621E+001	-2,3120091E+000
1,0297224E-001	2,0679176E+001	-2,3857141E+000
8,1555545E-002	2,1146591E+001	-3,0493600E+000
6,4581856E-002	2,0940620E+001	-3,6190000E+000
