Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,19,2.234504,0.000295616453513503,5.29070831589706E-09,125.892555236816,4027.89882591411,3862.59399414063,-1142.07556152344,-16.4716731871006,21
0,20,2.255895,0.000295616453513503,-1.56086521485577E-09,100,4213.54837737656,3968.21655273438,-1416.77355957031,-19.6481045054726,21
0,21,2.277263,0.000295616453513503,1.21422827348283E-08,79.4328002929688,4490.38387425803,4144.58154296875,-1728.00207519531,-22.6327396309218,21
0,22,2.319302,0.000295616453513503,4.04496791617248E-09,63.0957260131836,4846.46766275153,4363.6650390625,-2108.71435546875,-25.7918709024632,21
0,23,2.363221,0.000295616453513503,5.29070831589706E-09,50.1187286376953,5338.21660430926,4712.1962890625,-2508.33862304688,-28.0267189861704,21
0,24,2.415752,0.000295616453513503,4.66783856012398E-09,39.8107070922852,5947.36377349618,5180.84765625,-2920.6083984375,-29.4113371868824,21
0,25,2.458871,0.000295616453513503,3.07746716998736E-10,31.6227760314941,6675.20055383923,5827.90478515625,-3254.81616210938,-29.1828439131744,21
0,26,2.524103,0.000295616453513503,5.29070831589706E-09,25.1188545227051,7431.22040557824,6550.31982421875,-3509.46533203125,-28.1810736697496,21
0,27,2.598726,0.000295616453513503,4.66783856012398E-09,19.9526195526123,8194.03381340425,7369.83056640625,-3581.59008789063,-25.9188238532912,21
0,28,2.694093,0.000295616453513503,5.29070831589706E-09,15.8489332199097,8873.38900339763,8168.77294921875,-3465.2822265625,-22.9871843056996,21
0,29,2.791747,0.000295616453513503,5.29070831589706E-09,12.5892505645752,9442.38076313499,8885.5908203125,-3194.5,-19.7742541138915,21
0,30,2.909016,0.000295616453513503,5.29070831589706E-09,10,9881.68638772072,9469.78515625,-2823.27734375,-16.6011767491366,21
0,31,3.048232,0.000295616453513503,5.29070831589706E-09,7.94327974319458,10203.8814729025,9913.779296875,-2415.81811523438,-13.6950859749588,21
0,32,3.230882,0.000295616453513503,5.29070831589706E-09,6.30957317352295,10425.196452037,10228.5791015625,-2015.16516113281,-11.145289615312,21
0,33,3.454571,0.000295616453513503,5.29070831589706E-09,5.0118727684021,10576.2438721896,10446.0888671875,-1654.134765625,-8.99805676699696,21
0,34,3.722841,0.000295616453513503,5.29070831589706E-09,3.98107075691223,10674.8236023664,10590.1396484375,-1341.93933105469,-7.22179848006968,21
0,35,4.056012,0.000295616453513503,5.29070831589706E-09,3.16227746009827,10736.5191878895,10681.923828125,-1081.36376953125,-5.78053384961192,21
0,36,4.483337,0.000295616453513503,5.29070831589706E-09,2.51188564300537,10778.7150334595,10743.9365234375,-865.173828125,-4.60390617662734,21
0,37,5.009505,0.000295616453513503,5.29070831589706E-09,1.99526214599609,10804.6278266744,10782.4208984375,-692.374206542969,-3.67410345774248,21
0,38,5.651809,0.000295616453513503,5.29070831589706E-09,1.58489334583282,10821.5722550135,10807.587890625,-549.972778320313,-2.91313488639011,21
0,39,6.458225,0.000295616453513503,5.29070831589706E-09,1.25892519950867,10832.6596991184,10823.7841796875,-438.420104980469,-2.31951201581043,21
0,40,7.488433,0.000295616453513503,5.29070831589706E-09,1,10837.4662171401,10831.845703125,-348.988067626953,-1.84535761223204,21
0,41,8.773847,0.000295616453513503,5.29070831589706E-09,0.794328391551971,10842.0415253268,10838.470703125,-278.239562988281,-1.47054436240656,21
0,42,10.383105,0.000295616453513503,5.29070831589706E-09,0.630956947803497,10846.7054708278,10844.42578125,-222.37141418457,-1.17471947856974,21
